sample_id,image_path,ground_truth_plate,camera_id,timestamp
DET_000458,evaluation/crops/DET_000458.jpg,WB01BJ1415,junction_B_camera_01,71.81
DET_000472,evaluation/crops/DET_000472.jpg,HB38AS6873,junction_B_camera_01,76.15
DET_000474,evaluation/crops/DET_000474.jpg,WB38AE2163,junction_B_camera_01,74.48
DET_000476,evaluation/crops/DET_000476.jpg,WB37G7900,junction_B_camera_01,78.15
DET_000480,evaluation/crops/DET_000480.jpg,WB37D6072,junction_B_camera_01,79.56
DET_000484,evaluation/crops/DET_000484.jpg,WB68Z2270,junction_B_camera_01,82.81
DET_000488,evaluation/crops/DET_000488.jpg,WB38BB5321,junction_B_camera_01,89.23
DET_000504,evaluation/crops/DET_000504.jpg,WB37C0050,junction_B_camera_01,111.39
DET_000515,evaluation/crops/DET_000515.jpg,WB37D6938,junction_B_camera_01,109.64
DET_000518,evaluation/crops/DET_000518.jpg,WB37D6875,junction_B_camera_01,112.3
DET_000529,evaluation/crops/DET_000529.jpg,WB37C9443,junction_B_camera_01,119.72
DET_000535,evaluation/crops/DET_000535.jpg,WB40AR0595,junction_B_camera_01,126.05
DET_000538,evaluation/crops/DET_000538.jpg,NB37C9443,junction_B_camera_01,119.39
DET_000551,evaluation/crops/DET_000551.jpg,3BAV5018,junction_B_camera_01,125.88
DET_000552,evaluation/crops/DET_000552.jpg,WB38AV5018,junction_B_camera_01,126.22
DET_000554,evaluation/crops/DET_000554.jpg,WB39G5738,junction_B_camera_01,128.8
DET_000569,evaluation/crops/DET_000569.jpg,WILE,junction_B_camera_01,140.63
DET_000570,evaluation/crops/DET_000570.jpg,WB02AU6493,junction_B_camera_01,136.55
DET_000572,evaluation/crops/DET_000572.jpg,WB02AU6493,junction_B_camera_01,136.71
DET_000576,evaluation/crops/DET_000576.jpg,WB37H9483,junction_B_camera_01,138.05
DET_000577,evaluation/crops/DET_000577.jpg,MB38AL8942,junction_B_camera_01,140.55
DET_000582,evaluation/crops/DET_000582.jpg,8942,junction_B_camera_01,140.3
DET_000598,evaluation/crops/DET_000598.jpg,WB38BD05753,junction_B_camera_01,153.46
DET_000607,evaluation/crops/DET_000607.jpg,WB26BC7024,junction_B_camera_01,155.96
DET_000610,evaluation/crops/DET_000610.jpg,2000,junction_B_camera_01,154.29
DET_000618,evaluation/crops/DET_000618.jpg,WB37H6396,junction_B_camera_01,169.12
DET_000622,evaluation/crops/DET_000622.jpg,WB3775,junction_B_camera_01,165.54
DET_000623,evaluation/crops/DET_000623.jpg,WB384G5426,junction_B_camera_01,172.87
DET_000626,evaluation/crops/DET_000626.jpg,WB38AZ4327,junction_B_camera_01,174.37
DET_000635,evaluation/crops/DET_000635.jpg,MB40AG2826,junction_B_camera_01,186.53
DET_000640,evaluation/crops/DET_000640.jpg,JH01CX6531,junction_B_camera_01,188.45
DET_000641,evaluation/crops/DET_000641.jpg,WB38BB0401,junction_B_camera_01,189.87
DET_000646,evaluation/crops/DET_000646.jpg,WB38AP4847,junction_B_camera_01,193.28
DET_000647,evaluation/crops/DET_000647.jpg,WB38BB8999,junction_B_camera_01,191.7
DET_000654,evaluation/crops/DET_000654.jpg,JH10CW0157,junction_B_camera_01,195.95
DET_000662,evaluation/crops/DET_000662.jpg,NB38AR3054,junction_B_camera_01,200.7
DET_000663,evaluation/crops/DET_000663.jpg,JH10CW0157,junction_B_camera_01,196.7
DET_000670,evaluation/crops/DET_000670.jpg,WB3707087,junction_B_camera_01,203.11
DET_000674,evaluation/crops/DET_000674.jpg,WB37L3648,junction_B_camera_01,202.2
DET_000675,evaluation/crops/DET_000675.jpg,MB02AL2460,junction_B_camera_01,208.53
DET_000677,evaluation/crops/DET_000677.jpg,EWB37,junction_B_camera_01,202.45
DET_000679,evaluation/crops/DET_000679.jpg,MB3544,junction_B_camera_01,206.86
DET_000686,evaluation/crops/DET_000686.jpg,KB39B1544,junction_B_camera_01,207.53
DET_000689,evaluation/crops/DET_000689.jpg,MB39B1544,junction_B_camera_01,207.78
DET_000691,evaluation/crops/DET_000691.jpg,MB02AL2460,junction_B_camera_01,208.86
DET_000696,evaluation/crops/DET_000696.jpg,JH10CS2095,junction_B_camera_01,225.27
DET_000700,evaluation/crops/DET_000700.jpg,WB54AB6733,junction_B_camera_01,221.02
DET_000730,evaluation/crops/DET_000730.jpg,Z38H2592C,junction_B_camera_02,26.83
DET_000737,evaluation/crops/DET_000737.jpg,KB41G9853,junction_B_camera_02,40.33
DET_000738,evaluation/crops/DET_000738.jpg,MB39E2592,junction_B_camera_02,44.5
DET_000767,evaluation/crops/DET_000767.jpg,MB01BJ1415,junction_B_camera_02,75.67
DET_000770,evaluation/crops/DET_000770.jpg,MB38AS6873,junction_B_camera_02,79.83
DET_000772,evaluation/crops/DET_000772.jpg,X301E2159,junction_B_camera_02,77.83
DET_000776,evaluation/crops/DET_000776.jpg,WB37D8072,junction_B_camera_02,85.17
DET_000790,evaluation/crops/DET_000790.jpg,WB3885321,junction_B_camera_02,93.67
DET_000794,evaluation/crops/DET_000794.jpg,MB3715241,junction_B_camera_02,95.83
DET_000808,evaluation/crops/DET_000808.jpg,MB37C0050,junction_B_camera_02,115.5
DET_000822,evaluation/crops/DET_000822.jpg,MB40AR0595,junction_B_camera_02,130.33
DET_000833,evaluation/crops/DET_000833.jpg,WB02AU6493,junction_B_camera_02,140.67
DET_000842,evaluation/crops/DET_000842.jpg,000N,junction_B_camera_02,144.33
DET_000851,evaluation/crops/DET_000851.jpg,MB37E0043,junction_B_camera_02,159.17
DET_000865,evaluation/crops/DET_000865.jpg,VB39174327,junction_B_camera_02,178.17
DET_000875,evaluation/crops/DET_000875.jpg,YUUSUU,junction_B_camera_02,193.17
DET_000882,evaluation/crops/DET_000882.jpg,WB38AP4847,junction_B_camera_02,197.33
DET_000885,evaluation/crops/DET_000885.jpg,JH10CH0157,junction_B_camera_02,200.67
DET_000890,evaluation/crops/DET_000890.jpg,MB3EAR3054,junction_B_camera_02,205.0
DET_000891,evaluation/crops/DET_000891.jpg,CUIMO,junction_B_camera_02,206.83
DET_000897,evaluation/crops/DET_000897.jpg,VB024LZ2450,junction_B_camera_02,212.17
DET_000907,evaluation/crops/DET_000907.jpg,JH10CS2095,junction_B_camera_02,229.67
