detection_id,image,true_plate,camera_id,condition
DET_000618,junction_B_camera_01_trk4056_f10150_0223.jpg,WB37H6396,junction_B_camera_01,daylight_clear
DET_000622,junction_B_camera_01_trk4076_f9935_0216.jpg,WB3775,junction_B_camera_01,angled_perspective
DET_000623,junction_B_camera_01_trk4085_f10375_0227.jpg,WB384G5426,junction_B_camera_01,motion_blur_moderate
DET_000626,junction_B_camera_01_trk4105_f10465_0236.jpg,WB38AZ4327,junction_B_camera_01,weather_overcast
DET_000635,junction_B_camera_01_trk4208_f11195_0239.jpg,MB40AG2826,junction_B_camera_01,dirty_plate_distorted
DET_000640,junction_B_camera_01_trk4309_f11310_0254.jpg,JH01CX6531,junction_B_camera_01,daylight_clear
DET_000641,junction_B_camera_01_trk4322_f11395_0264.jpg,WB38BB0401,junction_B_camera_01,angled_perspective
DET_000646,junction_B_camera_01_trk4343_f11600_0273.jpg,WB38AP4847,junction_B_camera_01,motion_blur_moderate
DET_000647,junction_B_camera_01_trk4356_f11505_0269.jpg,WB38BB8999,junction_B_camera_01,weather_overcast
DET_000654,junction_B_camera_01_trk4383_f11760_0275.jpg,JH10CW0157,junction_B_camera_01,dirty_plate_distorted
DET_000662,junction_B_camera_01_trk4414_f12045_0282.jpg,NB38AR3054,junction_B_camera_01,daylight_clear
DET_000663,junction_B_camera_01_trk4422_f11805_0279.jpg,JH10CW0157,junction_B_camera_01,angled_perspective
DET_000670,junction_B_camera_01_trk4448_f12190_0295.jpg,WB3707087,junction_B_camera_01,motion_blur_moderate
DET_000674,junction_B_camera_01_trk4466_f12135_0290.jpg,WB37L3648,junction_B_camera_01,weather_overcast
DET_000675,junction_B_camera_01_trk4469_f12515_0314.jpg,MB02AL2460,junction_B_camera_01,dirty_plate_distorted
DET_000677,junction_B_camera_01_trk4473_f12150_0291.jpg,EWB37,junction_B_camera_01,daylight_clear
DET_000679,junction_B_camera_01_trk4481_f12415_0299.jpg,MB3544,junction_B_camera_01,angled_perspective
DET_000686,junction_B_camera_01_trk4532_f12455_0306.jpg,KB39B1544,junction_B_camera_01,motion_blur_moderate
DET_000689,junction_B_camera_01_trk4539_f12470_0309.jpg,MB39B1544,junction_B_camera_01,weather_overcast
DET_000691,junction_B_camera_01_trk4546_f12535_0318.jpg,MBO2AL2460,junction_B_camera_01,dirty_plate_distorted
DET_000696,junction_B_camera_01_trk4591_f13520_0326.jpg,JH10CS2095,junction_B_camera_01,daylight_clear
DET_000700,junction_B_camera_01_trk4614_f13265_0320.jpg,WB54AB6733,junction_B_camera_01,angled_perspective
DET_000730,junction_B_camera_02_trk4973_f805_0001.jpg,Z38H2592C,junction_B_camera_02,motion_blur_moderate
DET_000737,junction_B_camera_02_trk5087_f1210_0002.jpg,KB41G9853,junction_B_camera_02,weather_overcast
DET_000738,junction_B_camera_02_trk5093_f1335_0003.jpg,MB39E2592,junction_B_camera_02,dirty_plate_distorted
DET_000767,junction_B_camera_02_trk5390_f2270_0004.jpg,MB01BJ1415,junction_B_camera_02,daylight_clear
DET_000770,junction_B_camera_02_trk5439_f2395_0010.jpg,MB38AS6873,junction_B_camera_02,angled_perspective
DET_000772,junction_B_camera_02_trk5447_f2335_0005.jpg,X301E2159,junction_B_camera_02,motion_blur_moderate
DET_000776,junction_B_camera_02_trk5493_f2555_0015.jpg,WB37D8072,junction_B_camera_02,weather_overcast
DET_000790,junction_B_camera_02_trk5557_f2810_0017.jpg,WB3885321,junction_B_camera_02,dirty_plate_distorted
DET_000794,junction_B_camera_02_trk5603_f2875_0018.jpg,MB3715241,junction_B_camera_02,daylight_clear
DET_000808,junction_B_camera_02_trk5729_f3465_0021.jpg,MB37C0050,junction_B_camera_02,angled_perspective
DET_000822,junction_B_camera_02_trk5848_f3910_0022.jpg,MB40AR0595,junction_B_camera_02,motion_blur_moderate
DET_000833,junction_B_camera_02_trk5923_f4220_0024.jpg,WB02AU6493,junction_B_camera_02,weather_overcast
DET_000842,junction_B_camera_02_trk5988_f4330_0025.jpg,000N,junction_B_camera_02,dirty_plate_distorted
DET_000851,junction_B_camera_02_trk6069_f4775_0033.jpg,MB37E0043,junction_B_camera_02,daylight_clear
DET_000865,junction_B_camera_02_trk6254_f5345_0035.jpg,VB39174327,junction_B_camera_02,angled_perspective
DET_000875,junction_B_camera_02_trk6377_f5795_0036.jpg,YUUSUU,junction_B_camera_02,motion_blur_moderate
DET_000882,junction_B_camera_02_trk6441_f5920_0038.jpg,WB38AP4847,junction_B_camera_02,weather_overcast
DET_000885,junction_B_camera_02_trk6464_f6020_0039.jpg,JH10CH0157,junction_B_camera_02,dirty_plate_distorted
DET_000890,junction_B_camera_02_trk6518_f6150_0040.jpg,MB3EAR3054,junction_B_camera_02,daylight_clear
DET_000891,junction_B_camera_02_trk6522_f6205_0041.jpg,CUIMO,junction_B_camera_02,angled_perspective
DET_000897,junction_B_camera_02_trk6578_f6365_0042.jpg,VB024LZ2450,junction_B_camera_02,motion_blur_moderate
DET_000907,junction_B_camera_02_trk6636_f6890_0045.jpg,JH10CS2095,junction_B_camera_02,weather_overcast
